  company all Details
"
"['U72300MH2007PTC168674', 'ANDESOFT CONSULTING PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH1998PTC115486', 'AIROLI ADVANCE COMPUTER CENTER PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2019PTC328370', 'SHANIL TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2018PTC313988', 'HOOOT TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72300MH2015PTC264627', 'CYQUATOR TECH PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2002PTC135137', 'ORASI TECHNOLOGY (INDIA ) PRIVATE LIMITED', 'Mumbai', 'Active']"
[]
"['U72300MH2015PTC271222', 'QFIX INFOCOMM PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72300MH2013PTC242217', 'MUGENESYS SOFTWARE PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2020PTC346296', 'TECHNOKRAFT INNOVATIONS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2021PTC358020', '9NEXUS CONSULTING PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2021PTC366158', 'OPTIMONEY TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72000MH2002PTC137770', 'SURAJ INFOTECH EXPORTS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2018PTC314581', 'OLELO INTELLIGENT SYSTEMS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2020PTC349229', 'CREDMITRA INNOVATIONS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2005PTC157901', 'P2S INFORMATION SYSTEMS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2022PTC395487', 'DOLTTADE INDIA PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2022PTC389569', 'QARIXO INFOTECH PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2000PTC126816', 'EYEGLOBAL TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2021PTC366644', 'ADHYAY INFOTECH PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2009PTC189562', 'KNOWELL ENTERPRISES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72300MH2012PTC237487', 'MUGENESYS INFOTECH PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2016PTC280179', 'EXYMIUM CONSULTING PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72300MH2014PTC253073', 'CLOUDSTRATS TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2008PTC177592', 'PARAPHORA BUSINESS INFRASTRUCTURE VIRTUALIZATION PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2021PTC368600', 'CORESITE NETWORK PRIVATE LIMITED', 'Mumbai', 'Active']"
