company all Details
"['U72900TN2021PTC148350', 'DECODETEK SOFTWARE PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2018PTC123358', 'TAMIZHAN TECHNOLOGY SERVICES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2008PTC067431', 'ENRAPT TECHNO SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2019PTC129918', 'DEAL FRENZY PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2019PTC132798', 'SUPREMESOFTTECH SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2021PTC146055', 'PAARIAN PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72500TN2019PTC133371', 'FOBIT SERVICES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2021PTC140710', 'SAGEFLARE TECH PRIVATE LIMITED', 'Chennai', 'Active']"
[]
"['U72900TN2019PTC130568', 'EVANGELINE TECHNOLOGIES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2020PTC134441', 'ASTRALIS SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN1999PTC042635', 'TIPS DATA SYSTEMS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2013PTC093702', 'PEEPAL SEED TECHNO SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2021PTC141924', 'WEDIGITIZ PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2020PTC138661', 'TOGLE AUTOMATION PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2018PTC120905', 'BRAIN MAPERS INTEGRATED SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2004PTC054385', 'PATHFINDER SOFTWARE SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2015PTC149408', 'TECHCHEFS SOFTWARE PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2019PTC129713', 'WHALEN TRADING PRIVATE LIMITED', 'Chennai', 'Active']"
